Date,Price,Open,High,Low,Vol.,Change %
11/21/2024,914.00,914.00,914.00,914.00,,0.00
11/20/2024,915.00,915.00,915.00,915.00,,-0.01
11/19/2024,924.00,924.00,924.00,924.00,,0.02
11/18/2024,907.00,907.00,907.00,907.00,,0.02
11/15/2024,890.00,890.00,890.00,890.00,,0.00
11/14/2024,889.00,889.00,889.00,889.00,,0.00
11/13/2024,889.00,889.00,889.00,889.00,,-0.01
11/12/2024,902.00,902.00,902.00,902.00,,-0.01
11/11/2024,910.00,910.00,910.00,910.00,,0.00
11/8/2024,913.00,913.00,913.00,913.00,,-0.01
11/7/2024,922.00,922.00,922.00,922.00,,-0.01
11/6/2024,931.00,931.00,931.00,931.00,,-0.01
11/5/2024,944.00,944.00,944.00,944.00,,-0.01
11/4/2024,950.00,950.00,950.00,950.00,,-0.01
11/1/2024,957.00,957.00,957.00,957.00,,-0.01
10/31/2024,966.00,966.00,966.00,966.00,,-0.01
10/30/2024,971.00,971.00,971.00,971.00,,-0.02
10/29/2024,992.00,992.00,992.00,992.00,,-0.02
10/28/2024,1013.00,1013.00,1013.00,1013.00,,-0.02
10/25/2024,1036.00,1036.00,1036.00,1036.00,,0.00
10/24/2024,1041.00,1041.00,1041.00,1041.00,,0.00
10/23/2024,1044.00,1044.00,1044.00,1044.00,,-0.01
10/22/2024,1054.00,1054.00,1054.00,1054.00,,0.01
10/21/2024,1044.00,1044.00,1044.00,1044.00,,0.00
10/18/2024,1043.00,1043.00,1043.00,1043.00,,0.01
10/17/2024,1037.00,1037.00,1037.00,1037.00,,0.00
10/16/2024,1036.00,1036.00,1036.00,1036.00,,0.00
10/15/2024,1039.00,1039.00,1039.00,1039.00,,0.00
10/14/2024,1038.00,1038.00,1038.00,1038.00,,0.00
10/11/2024,1036.00,1036.00,1036.00,1036.00,,0.00
10/10/2024,1038.00,1038.00,1038.00,1038.00,,0.01
10/9/2024,1024.00,1024.00,1024.00,1024.00,,-0.02
10/8/2024,1040.00,1040.00,1040.00,1040.00,,-0.02
10/7/2024,1058.00,1058.00,1058.00,1058.00,,0.00
10/4/2024,1060.00,1060.00,1060.00,1060.00,,0.02
10/3/2024,1039.00,1039.00,1039.00,1039.00,,0.09
10/2/2024,951.00,951.00,951.00,951.00,,0.10
10/1/2024,867.00,867.00,867.00,867.00,,0.00
9/30/2024,863.00,863.00,863.00,863.00,,0.00
9/27/2024,862.00,862.00,862.00,862.00,,0.00
9/26/2024,860.00,860.00,860.00,860.00,,-0.01
9/25/2024,865.00,865.00,865.00,865.00,,-0.01
9/24/2024,876.00,876.00,876.00,876.00,,-0.01
9/23/2024,888.00,888.00,888.00,888.00,,-0.01
9/20/2024,894.00,894.00,894.00,894.00,,0.00
9/19/2024,897.00,897.00,897.00,897.00,,0.01
9/18/2024,889.00,889.00,889.00,889.00,,0.00
9/17/2024,888.00,888.00,888.00,888.00,,0.01
9/16/2024,882.00,882.00,882.00,882.00,,0.00
9/13/2024,883.00,883.00,883.00,883.00,,0.00
9/12/2024,883.00,883.00,883.00,883.00,,0.00
9/11/2024,885.00,885.00,885.00,885.00,,0.00
9/10/2024,885.00,885.00,885.00,885.00,,0.01
9/9/2024,880.00,880.00,880.00,880.00,,0.01
9/6/2024,870.00,870.00,870.00,870.00,,0.00
9/5/2024,866.00,866.00,866.00,866.00,,0.00
9/4/2024,864.00,864.00,864.00,864.00,,0.00
9/3/2024,868.00,868.00,868.00,868.00,,0.00
9/2/2024,872.00,872.00,872.00,872.00,,-0.01
8/30/2024,881.00,881.00,881.00,881.00,,0.00
8/29/2024,884.00,884.00,884.00,884.00,,-0.01
